mlogloss,merror
2.259103585296953,0.6007583965330444
2.231701934583009,0.542795232936078
2.2062778685358984,0.5127302275189599
2.181278417324839,0.49702058504875407
2.157227643584895,0.47914409534127844
2.134087613480063,0.4772481040086674
2.1113697005958496,0.4601841820151679
2.0897935208171314,0.4558504875406284
2.069061510837995,0.44664138678223186
2.0482477528625296,0.4368905742145179
2.0290691760224355,0.42876489707475623
2.0101240293434612,0.42416034669555797
1.9920989553951622,0.41765980498374866
1.9742406780709425,0.41359696641386784
1.9568025534679934,0.4111592632719393
1.9392659974769808,0.40384615384615385
1.923330229385186,0.3959913326110509
1.9071589626638241,0.3959913326110509
1.8910166511427156,0.39409534127843987
1.875190662601529,0.38867822318526546
1.8602554267786953,0.3862405200433369
1.845551855224442,0.38353196099674974
1.8311480099692505,0.3819068255687974
1.8164040357649391,0.3789274106175515
1.80249262411442,0.373510292524377
1.788880048535627,0.3743228602383532
1.775703891143122,0.3702600216684724
1.7626032453607505,0.36755146262188515
1.750059156382975,0.36728060671722645
1.7379111792742883,0.36619718309859156
1.725352579616777,0.3583423618634886
1.7123213576824925,0.3540086673889491
1.7011952995608197,0.352112676056338
1.6894518471003095,0.34696641386782234
1.6779245500930082,0.3434452871072589
1.6665866749355103,0.34507042253521125
1.655718247542402,0.3431744312026002
1.6453657271996351,0.3377573131094258
1.6348826202159326,0.33748645720476705
1.6244626572176022,0.33613217768147347
1.614260208519541,0.3328819068255688
1.604226593884719,0.33125677139761645
1.5944722103982163,0.3317984832069339
1.584630064060861,0.33206933911159264
1.5750111263822502,0.32963163596966416
1.5650668865955664,0.32854821235102927
1.5559101602464172,0.3252979414951246
1.546384179692227,0.32340195016251355
1.5376790809008178,0.319068255687974
1.5282150484290566,0.3196099674972914
1.5193371250014651,0.3166305525460455
1.5105336923172388,0.3144637053087757
1.501988077150781,0.31473456121343446
1.4934211633009746,0.31500541711809316
1.484979831473347,0.30958829902491874
1.476463886149397,0.30715059588299026
1.4685858558149016,0.3055254604550379
1.460517229336765,0.3055254604550379
1.4527187076511259,0.3049837486457205
1.4449139083548976,0.30417118093174433
1.4373335886831402,0.302546045503792
1.4298075884177006,0.3017334777898158
1.4224358263263077,0.2992957746478873
1.4149485830528377,0.29658721560130014
1.4079125484578787,0.2963163596966414
1.4010232384049233,0.2952329360780065
1.393723036500576,0.2938786565547129
1.3868467709531893,0.29252437703141926
1.3801289194325068,0.28954496208017333
1.3736772183268326,0.2887323943661972
1.3668314955426322,0.28710725893824485
1.360115571131169,0.2862946912242687
1.3536083985721432,0.28710725893824485
1.3468084378190186,0.2852112676056338
1.3402391237651734,0.2841278439869989
1.333711617808882,0.28169014084507044
1.3273886182988193,0.28060671722643554
1.321077674796819,0.27843986998916576
1.3151765985743324,0.27843986998916576
1.3088548230703512,0.2776273022751896
1.303168167599264,0.2789815817984832
1.2973235260013123,0.2768147345612134
1.2914596890479746,0.27518959913326113
1.2857057095292395,0.2738353196099675
1.2799203628522797,0.2727518959913326
1.2740841511382701,0.2703141928494041
1.2687558239509522,0.27058504875406286
1.2639212506345976,0.2673347778981582
1.2583380786143041,0.26679306608884074
1.2528854734541794,0.26462621885157095
1.2479791789964438,0.2640845070422535
1.2425815489098737,0.26354279523293606
1.237663553807711,0.26191765980498377
1.2329362647069106,0.2613759479956663
1.227698095776504,0.26191765980498377
1.2231073889271926,0.2605633802816901
1.2183105973597466,0.259750812567714
1.2135581274800413,0.25812567713976164
1.2086354876592966,0.2562296858071506
1.2038816783742683,0.25704225352112675
1.1992519077797494,0.25487540628385696
1.1943379098131752,0.2540628385698808
1.1901746965734892,0.2532502708559047
1.1856877953419511,0.25270855904658723
1.1809239771100062,0.2510834236186349
1.1768440085312883,0.25162513542795234
1.1724872097720112,0.25162513542795234
1.1682690234747861,0.2513542795232936
1.1637639609929316,0.2502708559046587
1.159291232731254,0.25081256771397614
1.15518031418041,0.24972914409534128
1.1508049377899128,0.24674972914409535
1.146702546000739,0.24566630552546045
1.1426104579992664,0.245124593716143
1.1384567196177215,0.24593716143011918
1.135016715041042,0.24539544962080173
1.1308533839037882,0.24295774647887325
1.1269886764180106,0.24187432286023836
1.1231838688294717,0.24404117009750811
1.1195756215803963,0.24295774647887325
1.11595715105913,0.24214517876489708
1.1122690568560025,0.24160346695557963
1.1084318796913357,0.2399783315276273
1.104581876654876,0.23916576381365115
1.1007900170170635,0.23808234019501626
1.0970913467692658,0.23916576381365115
1.0936683507965128,0.2375406283856988
1.0903067088434684,0.23672806067172264
1.0868944396786513,0.23672806067172264
1.0831787741156789,0.23645720476706392
1.0795328959334292,0.2348320693391116
1.0761630745828636,0.23456121343445288
1.072670565982665,0.23429035752979416
1.0697293157688263,0.23456121343445288
1.0663530253426838,0.2337486457204767
1.0629173670254672,0.23293607800650054
1.0598563625661905,0.23266522210184182
1.0566614925707989,0.2323943661971831
1.0536416832293067,0.23185265438786565
1.050498811604772,0.23185265438786565
1.0475866319339233,0.23104008667388948
1.0446755747045446,0.23104008667388948
1.0413277929846525,0.22941495124593717
1.0381482665438129,0.22941495124593717
1.0353701299082645,0.22670639219934993
1.0322307601171512,0.22643553629469124
1.029161775836828,0.22535211267605634
1.026516363641221,0.2248104008667389
1.0234993909286862,0.22535211267605634
1.0205151577654696,0.223726977248104
1.0177375498537544,0.22426868905742145
1.0149620380111337,0.2226435536294691
1.0119136611417436,0.22345612134344528
