epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.4326427538937763,0.5036097904560662,1.0419876699457964,0.6473456121343445,0.0001
2,0.8418844795187868,0.7022950049891413,0.7369707744015646,0.747020585048754,0.0001
3,0.6972097031190067,0.7548864236661385,0.6561255033328758,0.7778981581798483,0.0001
4,0.6013106699804889,0.7866995363033398,0.6016418035601226,0.7936078006500542,0.0001
5,0.5364964246739382,0.8102952397722604,0.5575551761643213,0.8076923076923077,0.0001
6,0.47627452891561606,0.8340083348007278,0.5225463996793699,0.8212351029252438,0.0001
7,0.4329902010358065,0.8493279333215942,0.49440392341670597,0.8304442036836404,0.0001
8,0.381946892616803,0.8714562422961789,0.4696569875092574,0.840465872156013,0.0001
9,0.341001403930357,0.8863649703586313,0.44624341770861287,0.850216684723727,0.0001
10,0.3114051759267501,0.898221517872865,0.42711895355553176,0.8645720476706392,0.0001
11,0.2772861902070184,0.908493279333216,0.4222766195836589,0.8605092091007583,0.0001
12,0.2527385752700812,0.9173563420790045,0.3929539097801965,0.8718851570964247,0.0001
13,0.22405454597227126,0.9285672360157304,0.3838851429594687,0.8800108342361863,0.0001
14,0.20372355151601176,0.9349650760110348,0.37096909460241334,0.8856988082340195,0.0001
15,0.19013464550107284,0.9359042084874097,0.36028243525444104,0.8884073672806068,0.0001
16,0.16957487251204825,0.9447085754534249,0.3472275566693117,0.8984290357529794,0.0001
17,0.15387913428674235,0.9515172859071432,0.34116836239302273,0.8927410617551462,0.0001
18,0.14053249222687755,0.9546281622351352,0.31932828240379096,0.9005958829902492,0.0001
19,0.13238537377807577,0.9584433879204085,0.3222858413392002,0.9014084507042254,0.0001
20,0.12250581194434065,0.9606151317720256,0.3345920247866299,0.9000541711809318,0.0001
21,0.10782052084909412,0.9662499266302753,0.3240403140353227,0.9019501625135428,0.0001
22,0.10032639762825855,0.9701238480953219,0.3052273309372874,0.9098049837486457,0.0001
23,0.09679649836119894,0.9687151493807595,0.31454295384922626,0.9081798483206934,0.0001
24,0.08862777646831513,0.9733521159828609,0.31153985696520864,0.9106175514626219,0.0001
25,0.08741780979526136,0.9742912484592358,0.3061717163896509,0.911430119176598,0.0001
26,0.07814946482519439,0.9750542935962905,0.295153802710778,0.9184723726977249,0.0001
27,0.0751212057524978,0.977578212126548,0.2962504429328997,0.9149512459371615,0.0001
28,0.06912258175872067,0.9789282150613371,0.28942624325354466,0.9200975081256771,0.0001
29,0.06450609102965017,0.980806480014087,0.2843544228428234,0.9252437703141928,0.0001
30,0.05789459153420315,0.9824499618477431,0.2833236429763641,0.9230769230769231,0.0001
31,0.05708716239268745,0.9826847449668369,0.277854087487073,0.9279523293607801,0.0001
32,0.05397969667805839,0.9840934436813993,0.27712342588640626,0.9217226435536294,0.0001
33,0.05546708063494644,0.9825673534072901,0.276877549203478,0.9244312026002167,0.0001
34,0.051073120092991586,0.9853847508364149,0.2711310547454644,0.926056338028169,0.0001
35,0.047238155989980116,0.9863238833127899,0.27917876426344446,0.9298483206933911,0.0001
36,0.04551747482181008,0.9855021423959617,0.2893867785209953,0.9255146262188516,0.0001
37,0.04132379794664637,0.987967365146446,0.28895939468433385,0.9238894907908992,0.0001
38,0.04147043213416183,0.9877912778071257,0.277731588963956,0.9282231852654388,0.0001
39,0.04056975207735257,0.9878499735868991,0.28088911944840866,0.9249729144095341,0.0001
40,0.03582796017483709,0.9894934554205552,0.2727848660616549,0.9306608884073673,0.0001
41,0.03719497114343844,0.9886717145037272,0.2827332749849797,0.9303900325027086,0.0001
42,0.033880984583274716,0.9909021541351177,0.27928617196248384,0.9328277356446371,0.0001
43,0.03176231574091785,0.9906086752362505,0.29052562680688737,0.9287648970747562,0.0001
44,0.032184212588881524,0.9897869343194224,0.30052219755858794,0.9312026002166848,0.0001
45,0.029516477609123116,0.9918999823912661,0.2883188987669423,0.9295774647887324,0.0001
46,0.029768569261236232,0.9913717203733051,0.2797161269678713,0.9330985915492958,0.0001
47,0.03210155243644302,0.9897869343194224,0.29000181879924924,0.9293066088840737,0.0001
48,0.028974429457765752,0.9913130245935318,0.27243882611410075,0.9320151679306609,0.0001
49,0.027997167305740426,0.9923108528496801,0.2762884702028975,0.9284940411700975,0.0001
50,0.02852026029613094,0.9913717203733051,0.26804527207676276,0.9333694474539544,0.0001
51,0.024613566293655628,0.9927217233080942,0.27894241925437946,0.9341820151679306,0.0001
52,0.024087626537198877,0.9924869401890004,0.2649988678010546,0.9352654387865655,0.0001
53,0.02358641153004777,0.993367376885602,0.2727646086998647,0.9349945828819068,0.0001
54,0.025194896009964458,0.9923695486294536,0.2759933799085483,0.9336403033586133,0.0001
55,0.021591619674640936,0.9945412924810706,0.2667612446026063,0.9371614301191766,0.0001
56,0.023423550548910387,0.9934847684451488,0.2774409897472076,0.9328277356446371,0.0001
57,0.0217675888612311,0.9931325937665082,0.2669380486721853,0.9368905742145178,0.0001
58,0.02043755104384939,0.99418911780243,0.26700320213484224,0.9393282773564464,0.0001
59,0.02067065954054438,0.993778247344016,0.2670001778933235,0.9325568797399784,0.0001
60,0.016697839730643725,0.9956565122967659,0.26391214397074986,0.9363488624052004,0.0001
61,0.018750734314783406,0.9944239009215238,0.2660712883893485,0.9401408450704225,0.0001
62,0.019789366184061925,0.993660855784469,0.2818001715036539,0.9344528710725893,0.0001
63,0.017022502316195773,0.9945999882608441,0.270473231925737,0.9355362946912242,0.0001
64,0.019037314254807817,0.9939543346833363,0.2812561302699092,0.9314734561213435,0.0001
65,0.01860987684311893,0.9948347713799378,0.2880805471219841,0.9306608884073673,0.0001
66,0.01807498743078342,0.9947760756001643,0.2736021568302473,0.9366197183098591,0.0001
67,0.01722192671428759,0.9951282502788049,0.29294895641465357,0.9341820151679306,0.0001
68,0.017029439606913457,0.9951282502788049,0.2798090423754985,0.9385157096424702,0.0001
69,0.016241144755085632,0.9953043376181253,0.28819528189795507,0.9366197183098591,0.0001
70,0.01601526501680415,0.9953043376181253,0.29844799992968435,0.9320151679306609,0.0001
71,0.016562295891749065,0.9948347713799378,0.2885634125828872,0.9385157096424702,0.0001
72,0.01605485392006384,0.9949521629394846,0.287698655190473,0.9336403033586133,0.0001
73,0.01798265550674572,0.99418911780243,0.29494824647128515,0.9352654387865655,0.0001
74,0.017649105759371984,0.993367376885602,0.3093164866691292,0.9295774647887324,0.0001
75,0.01593793321407659,0.9955978165169924,0.29962706888742335,0.930931744312026,0.0001
76,0.017499453141425363,0.9948347713799378,0.30187683887497185,0.9333694474539544,0.0001
