epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.851705825482063,0.3488877149732934,1.6269437574487853,0.4379739978331528,0.0003
2,1.5469423365325667,0.4730292891941069,1.5021187274970058,0.49295774647887325,0.0003
3,1.419326599021959,0.5338968128191584,1.4130953783462004,0.5390032502708559,0.0003
4,1.3137294812585054,0.5823208311322416,1.3600478378303131,0.5631094257854822,0.0003
5,1.2215455232766785,0.6184774314726771,1.3178477204633818,0.585590465872156,0.0003
6,1.1291279888925554,0.661853612725245,1.2640932751890122,0.6213434452871073,0.0003
7,1.0566306119549544,0.6984210835240946,1.1974655244487338,0.6384073672806068,0.0003
8,0.9805288849011577,0.7254211422198744,1.1894879076359461,0.6514084507042254,0.0003
9,0.9142268859438194,0.752127722016787,1.179014883733648,0.6611592632719393,0.0003
10,0.8494431492328895,0.7803016963080355,1.1233713128326515,0.6977248104008668,0.0003
11,0.7977239943910892,0.8020191348242062,1.0947133292356266,0.7126218851570965,0.0003
12,0.7395607019566507,0.8227387450842284,1.0545903575381634,0.7391657638136512,0.0003
13,0.714303970840704,0.8354757292950636,1.0209335692525556,0.752979414951246,0.0003
14,0.676033791871168,0.8513235898338909,1.0140060492481466,0.7575839653304443,0.0003
15,0.6372583700176583,0.8685214533075072,0.9923797732184794,0.7735644637053087,0.0003
16,0.598564667349628,0.8841345307272407,0.9821379805954409,0.7830444203683641,0.0003
17,0.5604343681875065,0.9012736984210835,0.9478332599865138,0.7984832069339112,0.0003
18,0.5478158673749197,0.9074367552972942,0.9543086613244897,0.7998374864572048,0.0003
19,0.534827748895944,0.9128367670364501,0.9507808857723538,0.7992957746478874,0.0003
20,0.510508723957141,0.9213476551035981,0.9400380445585736,0.8136511375947996,0.0003
21,0.489267918943848,0.9297998473909725,0.9530636540988414,0.8052546045503792,0.0003
22,0.469666850813861,0.9382520396783471,0.9520300200546034,0.8133802816901409,0.0003
23,0.4628261421854286,0.9427129189411282,0.9356656956646837,0.8187973997833152,0.0003
24,0.455835202941384,0.9431237893995422,0.929257396241309,0.8247562296858072,0.0003
25,0.4440192119797582,0.9477020602218701,0.9415643912611906,0.8136511375947996,0.0003
26,0.4326321864209279,0.9527498972823853,0.9524083416485193,0.8104008667388949,0.0003
27,0.4262469417316124,0.9546281622351352,0.9544944675358765,0.8136511375947996,0.0003
28,0.41811112264214867,0.9596173035158773,0.9340372051345437,0.8212351029252438,0.0003
29,0.40860221820404646,0.9623173093854552,0.9291811529244272,0.8212351029252438,0.0003
30,0.3998034781096176,0.9676586253448377,0.9349102175119509,0.8177139761646804,0.00015
31,0.3817990966306967,0.9721195046076188,0.9310830179299203,0.8163596966413867,0.00015
32,0.36593039969417795,0.9807477842343135,0.9225160827616055,0.8201516793066089,0.00015
33,0.36060776216411294,0.9825673534072901,0.9254606026482092,0.8215059588299025,0.00015
34,0.3550959379294322,0.98444561836004,0.9185712066915932,0.8242145178764897,0.00015
35,0.3513506136744097,0.9860891001936961,0.9156942680752549,0.820964247020585,0.00015
36,0.35052180987131554,0.9847977930386805,0.9090139163922385,0.8250270855904659,0.00015
37,0.3439373276166081,0.9887304102835006,0.9180168911798545,0.8217768147345612,0.00015
38,0.3458404998274947,0.987028232670071,0.9144820686538713,0.8193391115926327,0.00015
39,0.3443236046919991,0.987556494688032,0.9079507868313196,0.8201516793066089,0.00015
40,0.3428727410090406,0.9882608440453131,0.9235850194164371,0.8179848320693391,0.00015
41,0.3424001448785726,0.9885543229441803,0.9176134563344788,0.8217768147345612,0.00015
42,0.3380098289262873,0.9906086752362505,0.9054272095405397,0.8231310942578548,7.5e-05
43,0.3347975900578738,0.9907847625755708,0.8983091484040894,0.8217768147345612,7.5e-05
44,0.3301897590891705,0.9927804190878676,0.9002237684806791,0.819068255687974,7.5e-05
45,0.3291125857312963,0.9930738979867347,0.8923952857825506,0.8261105092091008,7.5e-05
46,0.3297708016427923,0.9930152022069613,0.897363586260464,0.8220476706392199,7.5e-05
47,0.3276817239722561,0.9930152022069613,0.9000103303179839,0.8201516793066089,7.5e-05
48,0.32802184368058707,0.9928978106474144,0.8981382756424363,0.8215059588299025,7.5e-05
49,0.3283796678436343,0.9930152022069613,0.9011351686386737,0.8198808234019501,7.5e-05
50,0.32502309220136805,0.9940130304631097,0.8935501132471202,0.8236728060671723,7.5e-05
51,0.32518475322948137,0.9943065093619768,0.9017322546482602,0.8220476706392199,3.75e-05
52,0.3250715905839711,0.9934260726653754,0.8945372145974106,0.8212351029252438,3.75e-05
53,0.3224496550422015,0.9945412924810706,0.89313250218285,0.820964247020585,3.75e-05
54,0.31907125256875596,0.9960673827551799,0.8964780052459899,0.8198808234019501,3.75e-05
55,0.32052084364164474,0.9950695544990316,0.8919981910503053,0.8215059588299025,3.75e-05
56,0.3208651252809444,0.9953043376181253,0.894296656579651,0.8215059588299025,3.75e-05
57,0.32116162997704967,0.9946586840406175,0.8925136411693734,0.8225893824485374,1.875e-05
58,0.3200925218951935,0.995539120737219,0.8928690937590883,0.8198808234019501,1.875e-05
59,0.3196168007576081,0.9951869460585784,0.8858357839698007,0.8225893824485374,1.875e-05
60,0.3187282354421527,0.9954217291776721,0.8879652834403554,0.8223185265438786,1.875e-05
