epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.7324283502538096,0.3765921230263544,1.4827713792011512,0.4997291440953413,0.001
2,1.2936189641217541,0.5855490990197805,1.3503045593413605,0.5639219934994583,0.001
3,1.0088864072510955,0.7229559194693902,1.2112944322443473,0.6446370530877573,0.001
4,0.7828774345923794,0.818630040500088,1.0975050155158161,0.7196641386782232,0.001
5,0.6400695519036738,0.8786171274285379,1.0286782712616098,0.7546045503791983,0.001
6,0.5432466828236034,0.9201737395081294,0.973643405917923,0.7876489707475623,0.001
7,0.49662709194862237,0.9374889945412925,0.9293852332870467,0.7982123510292525,0.001
8,0.45425689889874304,0.9572694723249399,0.9212587765081991,0.7998374864572048,0.001
9,0.4228614602926059,0.9697129776369079,0.9045622561889765,0.8085048754062839,0.001
10,0.4048596706238964,0.9770499501085872,0.9100486261614741,0.801462621885157,0.001
11,0.3844643497614679,0.9849151845982274,0.8965249033170557,0.8076923076923077,0.001
12,0.3761325830699427,0.9876151904678053,0.9019276353158259,0.8028169014084507,0.001
13,0.3661779090206745,0.9902565005576099,0.9016529320378991,0.8068797399783315,0.001
14,0.35659129652869515,0.9924869401890004,0.8862931253075729,0.807421451787649,0.001
15,0.35040860619491526,0.9945412924810706,0.8823566717677875,0.8001083423618635,0.001
16,0.34833511000487866,0.993778247344016,0.8757414725464834,0.8022751895991332,0.001
17,0.3447687819774158,0.9947173798203909,0.8834995817905645,0.8068797399783315,0.001
18,0.3369891400218129,0.9971826025708752,0.8732742712402137,0.8055254604550379,0.001
19,0.33541100574063115,0.9962434700945002,0.8670257121356828,0.8060671722643553,0.001
20,0.33107261125551757,0.9974173856899688,0.866504009857467,0.80931744312026,0.001
21,0.3293605135182942,0.997299994130422,0.8626787074854676,0.807421451787649,0.001
22,0.3261602903368216,0.9983565181663439,0.8705308151916719,0.8076923076923077,0.001
23,0.32366389446207605,0.9988260844045314,0.865999857756841,0.8085048754062839,0.001
24,0.3210084596318091,0.9985326055056641,0.8559455371109662,0.8095882990249187,0.001
25,0.3190708066534533,0.9985326055056641,0.8480134254416304,0.8098591549295775,0.001
26,0.31767304498537635,0.9988260844045314,0.8710340949851023,0.8033586132177681,0.001
27,0.31584642725091044,0.9990608675236251,0.8586554604775211,0.80931744312026,0.001
28,0.3143235449500716,0.9991782590831719,0.8523521999367397,0.8101300108342362,0.001
29,0.31251526837681437,0.9987673886247579,0.8487580731139798,0.8098591549295775,0.001
30,0.311546837402956,0.9990608675236251,0.8476112242122126,0.8098591549295775,0.001
31,0.3110224114845859,0.9990021717438516,0.8471169657722712,0.8071505958829902,0.001
32,0.3102814543745415,0.9989434759640782,0.8565599019452526,0.8071505958829902,0.001
33,0.3096065535706702,0.9995304337618125,0.8623363819954067,0.8085048754062839,0.001
34,0.30903154237943337,0.9990608675236251,0.8640136318372105,0.807421451787649,0.001
35,0.30851914539523,0.9988847801843047,0.8656502674098651,0.8049837486457205,0.001
36,0.3063745980896132,0.9993543464224922,0.8498194645182154,0.8055254604550379,0.001
37,0.3050841765640389,0.9996478253213594,0.8555578712781615,0.8071505958829902,0.001
38,0.3052847050211271,0.9990608675236251,0.8691484784769986,0.8041711809317443,0.001
39,0.3044884858916761,0.9993543464224922,0.8494946164919521,0.807421451787649,0.001
40,0.30421174239712073,0.9990608675236251,0.8647560011656028,0.8055254604550379,0.001
41,0.30213343983434865,0.999589129541586,0.8606651502854129,0.8030877573131094,0.001
42,0.30278368219807583,0.9994717379820391,0.8693270581256788,0.804442036836403,0.001
43,0.30109371807910107,0.9993543464224922,0.8587755378121803,0.8028169014084507,0.001
