epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.7388522025389508,0.4031226154839467,1.3869569049754613,0.5541711809317443,0.0003
2,1.2644762457302214,0.5991665199272173,1.1797963499635427,0.6348862405200434,0.0003
3,1.0364064598031717,0.6987732582027352,1.0748645828578738,0.6887865655471289,0.0003
4,0.869429772586031,0.7733755942947702,1.00298724530965,0.7269772481040087,0.0003
5,0.7449142591539191,0.8252039678347127,0.9207063460660007,0.7684182015167931,0.0003
6,0.6473163975658653,0.8665844925749838,0.8573045550420767,0.8001083423618635,0.0003
7,0.5663273174619845,0.8972236896167166,0.7854577094994541,0.8372156013001083,0.0003
8,0.5153359096431044,0.9186476492340201,0.7673949098147912,0.8439869989165764,0.0003
9,0.46560974516288955,0.9389563890356284,0.7631822169666559,0.8483206933911159,0.0003
10,0.43346090984504015,0.9501085871925808,0.7375854501744907,0.8583423618634887,0.0003
11,0.41433756953010104,0.95932382461701,0.738832207309851,0.8610509209100758,0.0003
12,0.3998997269252198,0.9626107882843223,0.7581774473900655,0.8624052004333694,0.0003
13,0.3845219545754257,0.9692434113987204,0.7316628666120386,0.8629469122426869,0.0003
14,0.3685252249832129,0.9753477724951576,0.7373175953281791,0.8632177681473456,0.0003
15,0.3624000702762419,0.9778716910254153,0.7313926334887387,0.8694474539544962,0.0003
16,0.3564851959210547,0.9802195222163527,0.742403058809423,0.8678223185265439,0.0003
17,0.35038082676397886,0.9827434407466104,0.7439026832580566,0.8699891657638137,0.0003
18,0.34375720005531635,0.9840934436813993,0.7323762653385444,0.8680931744312026,0.0003
19,0.3438143029125908,0.9847977930386805,0.7374988354879753,0.8710725893824486,0.0003
20,0.3375249154489211,0.9870869284498445,0.7524489348074209,0.8624052004333694,0.0003
21,0.3332030542504027,0.9879086693666725,0.7314411716239037,0.8710725893824486,0.0003
22,0.33102949613408666,0.9885543229441803,0.718605803965489,0.8737811484290358,0.0003
23,0.32429385874104444,0.9915478077126255,0.7484201106322548,0.866738894907909,0.0003
24,0.3190484125355834,0.992839114867641,0.7265509951411709,0.8735102925243771,0.0003
25,0.3187191219682347,0.9913130245935318,0.7386873514267372,0.8661971830985915,0.0003
26,0.3167295264090116,0.9927804190878676,0.7304545311925212,0.8724268689057422,0.0003
27,0.31911053500342285,0.9916065034923989,0.7371869835021824,0.8661971830985915,0.0003
28,0.3173566576586074,0.9925456359687739,0.7223425841408975,0.8678223185265439,0.00015
29,0.3110448662531644,0.9951869460585784,0.720340563862192,0.8686348862405201,0.00015
30,0.30697631651564383,0.9966543405529142,0.7059022376751719,0.8751354279523293,0.00015
31,0.305015890620128,0.9967717321124611,0.7149354727658265,0.8718851570964247,0.00015
32,0.3028214380670729,0.9971239067911017,0.710167317517013,0.874593716143012,0.00015
33,0.30202682013067206,0.9980043434877033,0.7015209684909229,0.8710725893824486,0.00015
34,0.30160914288269924,0.9975934730292892,0.7056474116744871,0.8756771397616468,0.00015
35,0.3005846163620165,0.9985913012854376,0.7138980566357481,0.8737811484290358,0.00015
36,0.30111007592260625,0.9975934730292892,0.7193703764438113,0.8686348862405201,0.00015
37,0.2996381661446503,0.9987086928449844,0.7172134864756501,0.8691765980498375,0.00015
38,0.29889804601333453,0.9984152139461173,0.7141002725934931,0.874593716143012,0.00015
